N,Time
9881,0.078662
9891,0.077925
9901,0.078641
9911,0.078890
9921,0.080483
9931,0.079405
9941,0.078242
9951,0.079220
9961,0.081949
9971,0.079205
9981,0.078623
9991,0.079971
10001,0.080043
10011,0.079520
10021,0.079528
10031,0.079636
10041,0.078629
10051,0.079457
10061,0.079354
10071,0.079364
10081,0.079543
10091,0.081172
10101,0.079930
10111,0.081068
10121,0.080182
10131,0.080055
10141,0.079896
10151,0.080597
10161,0.080753
10171,0.080345
10181,0.081601
10191,0.079586
10201,0.080270
10211,0.080364
10221,0.082242
10231,0.081294
10241,0.080178
10251,0.080881
10261,0.081330
10271,0.081817
10281,0.081966
10291,0.081712
10301,0.081142
10311,0.081033
10321,0.081987
10331,0.081588
10341,0.081997
10351,0.081196
10361,0.082272
10371,0.083045
10381,0.082245
10391,0.082577
10401,0.081706
10411,0.082508
10421,0.082209
10431,0.082593
10441,0.082836
10451,0.083824
10461,0.082825
10471,0.083139
10481,0.082927
10491,0.082988
10501,0.082959
10511,0.083370
10521,0.084406
10531,0.083573
10541,0.086346
10551,0.083612
10561,0.084283
10571,0.084623
10581,0.083772
10591,0.085942
10601,0.083750
10611,0.084563
10621,0.083790
10631,0.084490
10641,0.084970
10651,0.084972
10661,0.083837
10671,0.084765
10681,0.085168
10691,0.085849
10701,0.084435
10711,0.085520
10721,0.085002
10731,0.084805
10741,0.084593
10751,0.084467
10761,0.086160
10771,0.084847
10781,0.086516
10791,0.085266
10801,0.085434
10811,0.086860
10821,0.086595
10831,0.086140
10841,0.086316
10851,0.086138
10861,0.085548
10871,0.086444
10881,0.086083
10891,0.087384
10901,0.085537
10911,0.086451
10921,0.085801
10931,0.088235
10941,0.086579
10951,0.087184
10961,0.087464
10971,0.088360
10981,0.087494
10991,0.086332
11001,0.087128
11011,0.087856
11021,0.087309
11031,0.086661
11041,0.087567
11051,0.088222
11061,0.089595
11071,0.087752
11081,0.087158
11091,0.088433
11101,0.088282
11111,0.088253
11121,0.087975
11131,0.088445
11141,0.088552
11151,0.089035
11161,0.088593
11171,0.089488
11181,0.088564
11191,0.088994
11201,0.088951
11211,0.088262
11221,0.088274
11231,0.089314
11241,0.089474
11251,0.091685
11261,0.088977
11271,0.089521
11281,0.089057
11291,0.088967
11301,0.090545
11311,0.090492
11321,0.089584
11331,0.089717
11341,0.092226
11351,0.089597
11361,0.089656
11371,0.090164
11381,0.089498
11391,0.090627
11401,0.090881
11411,0.090550
11421,0.090558
11431,0.091574
11441,0.090894
11451,0.090715
11461,0.092829
11471,0.090572
11481,0.090291
11491,0.090236
11501,0.090863
11511,0.091338
11521,0.090510
11531,0.091124
11541,0.091301
11551,0.090788
11561,0.090819
11571,0.092149
11581,0.092197
11591,0.091563
11601,0.094152
11611,0.091928
11621,0.091750
11631,0.092361
11641,0.092450
11651,0.092271
11661,0.092160
11671,0.091889
11681,0.092593
11691,0.092112
11701,0.091774
11711,0.092785
11721,0.093426
11731,0.092707
11741,0.092798
11751,0.092732
11761,0.092524
11771,0.093969
11781,0.093625
11791,0.092854
11801,0.092979
11811,0.094643
11821,0.093379
11831,0.093548
11841,0.093668
11851,0.093444
11861,0.093650
11871,0.094412
11881,0.096016
11891,0.093083
11901,0.093673
11911,0.095541
11921,0.096794
11931,0.094918
11941,0.096758
11951,0.095348
11961,0.097336
11971,0.097281
11981,0.095001
11991,0.097085
12001,0.096101
12011,0.096210
12021,0.096544
12031,0.095079
12041,0.096470
12051,0.096952
12061,0.095824
12071,0.095739
12081,0.096675
12091,0.097706
12101,0.096947
12111,0.096358
12121,0.096644
12131,0.097655
12141,0.096653
12151,0.097622
12161,0.096145
12171,0.096351
12181,0.096743
12191,0.098982
12201,0.096428
12211,0.097679
12221,0.098014
12231,0.097278
12241,0.096452
12251,0.097122
12261,0.097210
12271,0.116701
12281,0.098217
12291,0.098091
12301,0.098019
12311,0.097523
12321,0.097654
12331,0.097616
12341,0.097488
12351,0.097126
12361,0.097776
12371,0.096725
12381,0.097564
12391,0.097665
12401,0.098910
12411,0.098334
12421,0.098152
12431,0.097047
12441,0.098120
12451,0.098196
12461,0.098478
12471,0.099364
12481,0.099265
12491,0.099507
12501,0.098745
12511,0.098158
12521,0.099998
12531,0.099123
12541,0.101802
12551,0.099984
12561,0.099262
12571,0.100499
12581,0.100429
12591,0.100349
12601,0.100533
12611,0.101817
12621,0.100265
12631,0.100505
12641,0.099348
12651,0.100913
12661,0.099879
12671,0.100104
12681,0.100035
12691,0.100815
12701,0.100924
12711,0.099883
12721,0.101954
12731,0.099753
12741,0.100868
12751,0.099943
12761,0.100099
12771,0.100207
12781,0.100955
12791,0.101575
12801,0.101871
12811,0.101228
12821,0.101503
12831,0.100254
12841,0.100976
12851,0.101673
12861,0.100942
12871,0.102108
12881,0.102530
12891,0.101314
12901,0.103383
12911,0.102136
12921,0.102383
12931,0.102166
12941,0.102430
12951,0.103150
12961,0.102351
12971,0.103112
12981,0.102744
12991,0.102300
13001,0.102674
13011,0.102936
13021,0.102612
13031,0.102866
13041,0.103656
13051,0.102902
13061,0.103230
13071,0.102285
13081,0.103338
13091,0.103454
13101,0.103347
13111,0.103321
13121,0.103815
13131,0.104294
13141,0.102596
13151,0.103783
13161,0.104634
13171,0.103892
13181,0.103928
13191,0.103113
13201,0.104064
13211,0.104343
13221,0.104980
13231,0.104396
13241,0.104201
13251,0.107559
13261,0.106129
13271,0.106542
13281,0.104290
13291,0.103641
13301,0.105338
13311,0.104939
13321,0.104660
13331,0.105063
13341,0.105179
13351,0.105565
13361,0.106490
13371,0.105362
13381,0.105710
13391,0.106460
13401,0.107542
13411,0.108051
13421,0.111515
13431,0.112042
13441,0.111294
13451,0.114474
13461,0.105787
13471,0.105728
13481,0.106616
13491,0.107208
13501,0.106819
13511,0.108255
13521,0.106822
13531,0.106301
13541,0.106906
13551,0.107236
13561,0.107286
13571,0.108038
13581,0.106834
13591,0.107764
13601,0.107159
13611,0.107732
13621,0.107141
13631,0.107683
13641,0.107457
13651,0.107709
13661,0.107925
13671,0.107022
13681,0.108957
13691,0.111108
13701,0.111770
13711,0.112384
13721,0.108154
13731,0.108072
