N,Time
29214,0.190667
29414,0.175667
29614,0.204333
29814,0.215667
30014,0.234333
30214,0.238333
30414,0.223667
30614,0.239333
30814,0.267333
31014,0.264000
31214,0.235000
31414,0.179333
31614,0.216333
31814,0.264000
32014,0.217667
32214,0.246667
32414,0.261667
32614,0.249000
32814,0.255333
33014,0.292333
33214,0.262000
33414,0.240333
33614,0.219667
33814,0.203000
34014,0.236333
34214,0.315000
34414,0.276667
34614,0.280667
34814,0.256667
35014,0.229667
35214,0.247000
35414,0.300667
35614,0.225000
35814,0.214000
36014,0.226667
36214,0.286333
36414,0.230667
36614,0.273667
36814,0.339000
37014,0.278333
37214,0.290667
37414,0.305333
37614,0.291333
37814,0.243667
38014,0.256667
38214,0.273333
38414,0.277333
38614,0.294333
38814,0.218667
39014,0.284000
39214,0.299333
39414,0.293667
39614,0.313000
39814,0.330000
40014,0.249000
40214,0.244333
40414,0.272333
40614,0.284000
40814,0.346667
41014,0.324000
41214,0.307333
41414,0.268333
41614,0.339333
41814,0.366000
42014,0.260000
42214,0.269333
42414,0.244000
42614,0.271667
42814,0.354000
43014,0.350667
43214,0.285333
43414,0.358333
43614,0.366667
43814,0.339667
44014,0.343667
44214,0.332333
44414,0.279667
44614,0.265000
44814,0.335000
45014,0.341333
45214,0.400667
45414,0.314333
45614,0.336333
45814,0.362333
46014,0.374000
46214,0.288000
46414,0.360000
46614,0.268333
46814,0.316000
47014,0.354000
47214,0.364000
47414,0.321333
47614,0.346667
47814,0.411333
48014,0.413667
48214,0.337667
48414,0.371000
48614,0.311333
48814,0.298667
49014,0.432000
49214,0.386000
49414,0.373000
49614,0.395333
49814,0.370667
50014,0.333333
50214,0.420000
50414,0.391000
50614,0.381667
50814,0.328667
51014,0.305000
51214,0.364333
51414,0.337667
51614,0.427333
51814,0.408000
52014,0.412333
52214,0.316333
52414,0.364333
52614,0.418333
52814,0.389000
53014,0.302333
53214,0.408000
53414,0.374667
53614,0.457000
53814,0.381000
54014,0.352333
54214,0.420333
54414,0.480000
54614,0.427333
54814,0.452333
55014,0.334000
55214,0.317000
55414,0.369667
55614,0.430333
55814,0.443000
56014,0.437333
56214,0.450000
56414,0.452667
56614,0.412333
56814,0.458333
57014,0.359333
57214,0.407333
57414,0.396000
57614,0.433000
57814,0.516333
58014,0.387000
58214,0.461333
58414,0.450333
58614,0.473333
58814,0.447667
59014,0.406333
59214,0.418000
59414,0.393667
59614,0.448667
59814,0.467667
60014,0.517000
60214,0.466000
60414,0.411000
60614,0.532000
60814,0.405000
61014,0.346667
61214,0.513333
61414,0.365333
61614,0.448667
61814,0.418667
62014,0.473333
62214,0.488000
62414,0.450667
62614,0.454000
62814,0.457667
63014,0.373333
63214,0.393667
63414,0.467000
63614,0.503333
63814,0.491667
64014,0.476333
64214,0.510333
64414,0.495333
64614,0.460333
64814,0.516667
65014,0.422667
65214,0.382000
65414,0.447333
65614,0.490000
65814,0.474000
66014,0.524667
66214,0.499000
66414,0.507000
66614,0.567333
66814,0.441667
67014,0.455667
67214,0.386667
67414,0.443000
67614,0.433667
67814,0.477000
68014,0.458667
68214,0.547333
68414,0.577333
68614,0.554333
68814,0.646000
69014,0.427000
69214,0.457000
69414,0.507333
69614,0.541667
69814,0.545667
70014,0.626000
70214,0.501333
70414,0.473000
70614,0.547333
70814,0.528000
71014,0.427333
71214,0.414000
71414,0.573000
71614,0.590667
71814,0.610000
72014,0.511667
72214,0.494000
72414,0.552000
72614,0.572667
72814,0.533667
73014,0.433000
73214,0.444667
73414,0.552000
73614,0.562333
73814,0.537333
74014,0.508333
74214,0.601333
74414,0.617667
74614,0.515000
74814,0.573333
75014,0.460000
75214,0.490000
75414,0.548333
75614,0.574000
75814,0.556000
76014,0.662667
76214,0.548000
76414,0.590667
76614,0.665667
76814,0.554333
77014,0.483667
77214,0.554333
77414,0.593667
77614,0.589667
77814,0.646667
78014,0.613333
78214,0.565000
78414,0.595333
78614,0.578333
78814,0.502000
79014,0.512333
79214,0.523000
79414,0.605333
79614,0.652333
79814,0.604000
80014,0.556000
80214,0.608333
80414,0.626333
80614,0.535000
80814,0.462333
81014,0.522333
81214,0.593667
81414,0.546000
81614,0.701000
81814,0.503000
82014,0.576333
82214,0.686333
82414,0.580667
82614,0.522000
82814,0.534667
83014,0.590333
83214,0.636333
83414,0.607000
83614,0.620667
83814,0.666667
84014,0.602333
84214,0.637667
84414,0.541667
84614,0.535667
84814,0.534667
85014,0.623667
85214,0.578333
85414,0.682000
85614,0.616000
85814,0.672667
86014,0.605000
86214,0.665000
86414,0.523000
86614,0.650667
86814,0.602667
